id,raw_copper,health,name,lvl_min,lvl_max,type_enemy,type_life,react_alliance,react_horde,lvl,vendor_worth,ah_worth
478,8,198,Riverpaw Outrunner,9,10,0,7,-1.0,-1.0,9,33.0,56386.0
480,8,198,Rusty Harvest Golem,9,10,0,9,-1.0,-1.0,9,39.0,1133.0
481,9,222,Defias Footpad,10,11,0,7,-1.0,-1.0,10,39.0,157.0
485,40,494,Blackrock Outrunner,20,21,0,7,-1.0,-1.0,20,104.0,392.0
486,193,0,Tharil'zun,24,24,1,7,-1.0,,24,102.0,280.0
500,14,247,Riverpaw Scout,12,13,0,7,-1.0,-1.0,12,47.0,1056.0
501,19,328,Riverpaw Herbalist,14,15,0,7,-1.0,-1.0,14,56.0,328.0
502,20,328,Benny Blaanco,15,15,0,7,-1.0,,15,53.0,190.0
503,113,935,Lord Malathrom,31,31,4,6,-1.0,,31,1199.0,1152.0
504,14,273,Defias Trapper,12,13,0,7,-1.0,-1.0,12,52.0,261.0
505,0,484,Greater Tarantula,19,20,0,1,-1.0,-1.0,19,141.0,496.0
506,33,417,Sergeant Brashclaw,18,18,4,7,-1.0,,18,1135.0,4893.0
507,111,0,Fenros,32,32,4,7,-1.0,,32,3515.0,15613.0
511,76,787,Insane Ghoul,26,26,0,6,-1.0,,26,120.0,235.0
513,18,300,Murloc Netter,14,15,0,7,-1.0,-1.0,14,63.0,1675.0
515,13,247,Murloc Raider,11,12,0,7,-1.0,-1.0,11,54.0,1471.0
517,30,377,Murloc Oracle,17,18,0,7,-1.0,-1.0,17,103.0,1194.0
518,69,713,Yowler,25,25,0,7,-1.0,,25,66.0,143.0
519,20,328,Slark,15,15,4,7,-1.0,-1.0,15,614.0,4081.0
520,37,449,Brack,19,19,4,7,-1.0,-1.0,19,853.0,4032.0
521,0,617,Lupos,23,23,4,1,-1.0,,23,1222.0,6721.0
522,165,0,Mor'Ladim,35,35,1,6,-1.0,-1.0,35,85.0,157.0
524,7,156,Rockhide Boar,7,8,0,1,0.0,0.0,7,14.0,6422.0
525,6,120,Mangy Wolf,5,6,0,1,-1.0,-1.0,5,12.0,66289.0
531,64,713,Skeletal Fiend,24,25,0,6,-1.0,-1.0,24,154.0,455.0
533,82,724,Nightbane Shadow Weaver,27,28,0,7,-1.0,-1.0,27,420.0,1047.0
534,132,0,Nefaru,34,34,4,7,-1.0,,34,3949.0,5590.0
539,0,449,Pygmy Venom Web Spider,18,19,0,1,-1.0,-1.0,18,141.0,510.0
544,51,573,Murloc Nightcrawler,21,22,0,7,-1.0,,21,134.0,322.0
545,37,433,Murloc Tidecaller,19,20,0,7,-1.0,,19,94.0,283.0
547,0,386,Great Goretusk,16,17,0,1,0.0,0.0,16,57.0,460.0
548,30,350,Murloc Minor Tidecaller,17,18,0,7,-1.0,,17,82.0,216.0
550,18,328,Defias Messenger,14,15,0,7,-1.0,-1.0,14,35.0,121.0
565,0,494,Rabid Dire Wolf,20,21,0,1,-1.0,-1.0,20,148.0,367.0
568,64,664,Shadowhide Warrior,24,25,0,7,-1.0,-1.0,24,206.0,561.0
569,0,573,Green Recluse,21,22,0,1,-1.0,-1.0,21,171.0,1135.0
570,89,950,Brain Eater,28,29,0,6,-1.0,-1.0,28,272.0,537.0
572,37,404,Leprithus,19,19,4,6,-1.0,,19,612.0,6698.0
573,39,484,Foe Reaper 4000,20,20,4,9,-1.0,-1.0,20,1969.0,5135.0
574,0,840,Naraxis,27,27,4,1,-1.0,,27,2669.0,7580.0
578,36,449,Murloc Scout,19,20,0,7,-1.0,-1.0,19,103.0,299.0
579,59,617,Shadowhide Assassin,23,24,0,7,-1.0,-1.0,23,194.0,505.0
580,40,494,Redridge Drudger,20,21,0,7,-1.0,,20,134.0,562.0
583,7,176,Defias Ambusher,8,9,0,7,-1.0,,8,22.0,319825.0
584,82,840,Kazon,27,27,4,7,-1.0,,27,1866.0,7325.0
587,132,0,Bloodscalp Warrior,33,34,0,7,-1.0,-1.0,33,299.0,566.0
588,140,0,Bloodscalp Scout,34,35,0,7,-1.0,-1.0,34,329.0,631.0
589,18,263,Defias Pillager,14,15,0,7,-1.0,-1.0,14,71.0,245.0
590,16,300,Defias Looter,13,14,0,7,-1.0,-1.0,13,66.0,228.0
594,65,984,Defias Henchman,15,16,1,7,-1.0,-1.0,15,213.0,632.0
595,141,0,Bloodscalp Hunter,34,35,0,7,-1.0,-1.0,34,332.0,629.0
596,103,0,Brainwashed Noble,18,18,2,7,-1.0,,18,543.0,2474.0
597,161,0,Bloodscalp Berserker,36,37,0,7,-1.0,-1.0,36,473.0,768.0
598,30,0,Defias Miner,17,18,0,7,-1.0,-1.0,17,112.0,390.0
599,103,0,Marisa du'Paige,18,18,2,7,-1.0,-1.0,18,436.0,1571.0
603,610,0,Grimtooth,60,60,0,7,,-1.0,60,562.0,1498.0
604,82,840,Plague Spreader,27,28,0,6,-1.0,-1.0,27,221.0,456.0
615,58,664,Blackrock Tracker,23,24,0,7,-1.0,-1.0,23,193.0,700.0
616,0,617,Chatter,23,23,4,1,-1.0,,23,593.0,3075.0
619,64,855,Defias Conjurer,15,16,1,7,-1.0,-1.0,15,270.0,1039.0
622,103,0,Goblin Engineer,18,19,1,7,-1.0,-1.0,18,282.0,816.0
623,92,0,Skeletal Miner,17,18,1,6,-1.0,-1.0,17,245.0,778.0
624,91,0,Undead Excavator,17,18,1,6,-1.0,-1.0,17,186.0,662.0
625,92,0,Undead Dynamiter,17,18,1,6,-1.0,-1.0,17,226.0,585.0
626,125,0,Foreman Thistlenettle,20,20,1,6,-1.0,-1.0,20,110.0,363.0
628,0,664,Black Ravager,24,25,0,1,-1.0,-1.0,24,195.0,384.0
634,93,0,Defias Overseer,17,18,1,7,-1.0,-1.0,17,239.0,1114.0
636,111,0,Defias Blackguard,19,20,1,7,-1.0,-1.0,19,285.0,892.0
639,147,0,Edwin VanCleef,21,21,2,7,-1.0,-1.0,21,1269.0,332.0
641,102,0,Goblin Woodcarver,18,19,1,7,-1.0,-1.0,18,257.0,738.0
642,122,0,Sneed's Shredder,20,20,1,9,-1.0,-1.0,20,775.0,1287.0
643,150,0,Sneed,20,20,1,7,-1.0,-1.0,20,1197.0,372.0
644,112,0,Rhahk'Zor,19,19,1,7,-1.0,-1.0,19,1084.0,1481.0
645,122,0,Cookie,20,20,1,7,-1.0,-1.0,20,1774.0,1707.0
646,123,0,Mr. Smite,20,20,1,7,-1.0,-1.0,20,2051.0,360.0
647,123,0,Captain Greenskin,20,20,1,7,-1.0,-1.0,20,2080.0,1365.0
657,112,0,Defias Pirate,19,20,1,7,-1.0,-1.0,19,349.0,1057.0
660,172,0,Bloodscalp Witch Doctor,37,37,0,7,-1.0,-1.0,37,414.0,862.0
667,193,0,Skullsplitter Warrior,39,40,0,7,-1.0,-1.0,39,362.0,952.0
669,216,0,Skullsplitter Hunter,41,42,0,7,-1.0,-1.0,41,483.0,1178.0
670,218,0,Skullsplitter Witch Doctor,41,42,0,7,-1.0,-1.0,41,453.0,1075.0
671,160,0,Bloodscalp Headhunter,36,37,0,7,-1.0,-1.0,36,439.0,769.0
672,259,0,Skullsplitter Spiritchaser,44,44,0,7,-1.0,-1.0,44,492.0,1254.0
674,205,0,Venture Co. Strip Miner,40,41,0,7,-1.0,-1.0,40,433.0,859.0
675,230,0,Venture Co. Foreman,42,42,0,7,-1.0,-1.0,42,530.0,877.0
676,219,0,Venture Co. Surveyor,41,42,0,7,-1.0,-1.0,41,608.0,1357.0
677,204,0,Venture Co. Tinkerer,40,41,0,7,-1.0,-1.0,40,424.0,768.0
678,731,0,Mosh'Ogg Mauler,43,44,1,7,-1.0,-1.0,43,131.0,242.0
679,732,0,Mosh'Ogg Shaman,43,44,1,7,-1.0,-1.0,43,130.0,241.0
680,817,0,Mosh'Ogg Lord,45,45,1,7,-1.0,-1.0,45,421.0,556.0
681,0,0,Young Stranglethorn Tiger,30,31,0,1,-1.0,-1.0,30,300.0,555.0
682,0,1163,Stranglethorn Tiger,32,33,0,1,-1.0,-1.0,32,372.0,605.0
683,0,0,Young Panther,30,31,0,1,-1.0,-1.0,30,347.0,511.0
684,0,1536,Shadowmaw Panther,37,38,0,1,-1.0,-1.0,37,424.0,599.0
685,0,0,Stranglethorn Raptor,33,34,0,1,-1.0,-1.0,33,377.0,566.0
686,0,0,Lashtail Raptor,35,36,0,1,-1.0,-1.0,35,399.0,600.0
687,0,0,Jungle Stalker,40,41,0,1,-1.0,-1.0,40,480.0,730.0
688,0,0,Stone Maw Basilisk,31,32,0,1,-1.0,-1.0,31,320.0,336.0
689,0,0,Crystal Spine Basilisk,34,35,0,1,-1.0,-1.0,34,395.0,879.0
690,0,0,Cold Eye Basilisk,39,40,0,1,-1.0,-1.0,39,623.0,907.0
691,0,0,Lesser Water Elemental,36,37,0,4,-1.0,-1.0,36,194.0,1049.0
694,132,0,Bloodscalp Axe Thrower,33,34,0,7,-1.0,-1.0,33,311.0,584.0
696,194,0,Skullsplitter Axe Thrower,39,40,0,7,-1.0,-1.0,39,371.0,974.0
697,132,0,Bloodscalp Shaman,33,34,0,7,-1.0,-1.0,33,363.0,653.0
699,141,0,Bloodscalp Beastmaster,34,35,0,7,-1.0,-1.0,34,332.0,607.0
701,140,0,Bloodscalp Mystic,34,35,0,7,-1.0,-1.0,34,360.0,637.0
702,132,0,Bloodscalp Scavenger,33,34,0,7,-1.0,-1.0,33,308.0,569.0
703,75,787,Lieutenant Fangore,26,26,0,7,-1.0,,26,64.0,153.0
704,8,55,Ragged Timber Wolf,2,2,0,1,0.0,,2,8.0,1869108.0
705,3,42,Ragged Young Wolf,1,1,0,1,0.0,,1,8.0,1882924.0
706,3,71,Frostmane Troll Whelp,3,4,0,7,-1.0,,3,5.0,158511.0
707,2,55,Rockjaw Trogg,1,2,0,7,0.0,,1,5.0,157600.0
708,3,71,Small Crag Boar,3,3,0,1,0.0,,3,7.0,357976.0
709,654,0,Mosh'Ogg Warmonger,41,42,1,7,-1.0,-1.0,41,1918.0,2904.0
710,730,0,Mosh'Ogg Spellcrafter,43,44,1,7,-1.0,-1.0,43,131.0,246.0
711,63,582,Ardo Dirtpaw,24,24,0,7,-1.0,,24,162.0,432.0
712,18,300,Redridge Thrasher,14,15,0,7,-1.0,-1.0,14,80.0,289.0
721,0,0,Rabbit,1,1,0,8,0.0,0.0,1,6.0,12.0
723,767,0,Mosh'Ogg Butcher,44,44,2,7,-1.0,-1.0,44,5884.0,1473.0
724,2,55,Burly Rockjaw Trogg,2,2,0,7,0.0,,2,5.0,160930.0
728,0,0,Bhag'thera,40,40,1,1,-1.0,-1.0,40,316.0,475.0
729,0,0,Sin'Dall,37,37,0,1,-1.0,-1.0,37,266.0,417.0
730,0,0,Tethis,43,43,1,1,-1.0,-1.0,43,435.0,441.0
731,0,0,King Bangalash,43,43,1,1,-1.0,-1.0,43,406.0,482.0
732,8,198,Murloc Lurker,9,10,0,7,-1.0,-1.0,9,28.0,3891.0
735,6,120,Murloc Streamrunner,6,7,0,7,-1.0,-1.0,6,17.0,8451.0
736,0,0,Panther,32,33,0,1,-1.0,-1.0,32,386.0,549.0
740,140,992,Adolescent Whelp,34,35,0,2,-1.0,-1.0,34,272.0,2599.0
741,150,0,Dreaming Whelp,35,36,0,2,-1.0,-1.0,35,283.0,3759.0
742,217,0,Green Wyrmkin,41,42,0,2,-1.0,-1.0,41,666.0,1013.0
743,232,0,Wyrmkin Dreamwalker,42,43,0,2,-1.0,-1.0,42,1507.0,2545.0
744,228,0,Green Scalebane,42,43,0,2,-1.0,-1.0,42,609.0,1147.0
745,245,0,Scalebane Captain,43,44,0,2,-1.0,-1.0,43,780.0,1659.0
746,277,0,Elder Dragonkin,45,45,0,2,-1.0,-1.0,45,804.0,1315.0
747,217,0,Marsh Murloc,41,42,0,7,-1.0,-1.0,41,415.0,673.0
750,231,0,Marsh Inkspewer,42,43,0,7,-1.0,-1.0,42,443.0,858.0
751,245,0,Marsh Flesheater,43,44,0,7,-1.0,-1.0,43,462.0,828.0
752,261,0,Marsh Oracle,44,45,0,7,-1.0,-1.0,44,441.0,904.0
754,114,0,Rebel Watchman,31,32,0,7,1.0,-1.0,31,126.0,179.0
755,141,0,Lost One Mudlurker,34,35,0,7,-1.0,-1.0,34,365.0,517.0
757,150,0,Lost One Fisherman,35,36,0,7,-1.0,-1.0,35,438.0,703.0
759,161,0,Lost One Hunter,36,37,0,7,-1.0,-1.0,36,416.0,682.0
760,161,0,Lost One Muckdweller,36,37,0,7,-1.0,-1.0,36,404.0,622.0
761,173,0,Lost One Seer,37,38,0,7,-1.0,-1.0,37,413.0,662.0
762,173,0,Lost One Riftseeker,37,38,0,7,-1.0,-1.0,37,395.0,734.0
763,196,0,Lost One Chieftain,39,39,4,7,-1.0,-1.0,39,970.0,2806.0
764,183,0,Swampwalker,38,39,0,4,-1.0,-1.0,38,611.0,3239.0
765,194,0,Swampwalker Elder,39,40,0,4,-1.0,-1.0,39,624.0,3221.0
766,205,0,Tangled Horror,40,41,0,4,-1.0,-1.0,40,837.0,3449.0
767,0,0,Swamp Jaguar,36,37,0,1,-1.0,-1.0,36,420.0,607.0
768,0,0,Shadow Panther,39,40,0,1,-1.0,-1.0,39,488.0,630.0
769,0,0,Deathstrike Tarantula,40,41,0,1,-1.0,-1.0,40,539.0,821.0
771,111,0,Commander Felstrom,32,32,4,6,-1.0,,32,1975.0,15072.0
772,0,1536,Stranglethorn Tigress,37,38,0,1,-1.0,-1.0,37,443.0,716.0
775,111,0,Kurzen's Agent,32,33,0,7,-1.0,-1.0,32,387.0,655.0
780,193,0,Skullsplitter Mystic,39,40,0,7,-1.0,-1.0,39,355.0,1006.0
781,244,0,Skullsplitter Headhunter,43,44,0,7,-1.0,-1.0,43,596.0,1567.0
782,216,0,Skullsplitter Scout,41,42,0,7,-1.0,-1.0,41,484.0,1242.0
783,245,0,Skullsplitter Berserker,43,44,0,7,-1.0,-1.0,43,587.0,1435.0
784,220,0,Skullsplitter Beastmaster,41,42,0,7,-1.0,-1.0,41,469.0,1152.0
785,88,769,Skeletal Warder,28,29,0,6,-1.0,-1.0,28,307.0,656.0
787,77,684,Skeletal Healer,26,27,0,6,-1.0,-1.0,26,293.0,643.0
808,4,98,Grik'nir the Cold,5,5,0,7,-1.0,,5,3.0,62172.0
813,613,0,Colonel Kurzen,40,40,1,7,-1.0,-1.0,40,306.0,559.0
814,183,0,Sergeant Malthus,38,38,0,7,-1.0,-1.0,38,319.0,588.0
815,151,992,Bookie Herod,35,35,0,7,-1.0,,35,175.0,381.0
818,929,0,Mai'Zoth,47,47,1,7,-1.0,-1.0,47,36.0,63.0
819,0,622,Servant of Ilgalar,24,25,0,3,-1.0,,24,212.0,466.0
822,5,195,Young Forest Bear,8,9,0,1,-1.0,-1.0,8,20.0,1683770.0
824,21,356,Defias Digger,15,16,0,7,-1.0,-1.0,15,104.0,422.0
830,7,300,Sand Crawler,13,14,0,1,0.0,,13,38.0,500.0
831,0,328,Sea Crawler,15,16,0,1,0.0,,15,73.0,352.0
832,0,449,Dust Devil,18,19,0,4,-1.0,-1.0,18,77.0,3909.0
833,19,247,Coyote Packleader,11,12,0,1,-1.0,-1.0,11,38.0,98909.0
834,8,222,Coyote,10,11,0,1,-1.0,-1.0,10,34.0,72071.0
846,19,300,Ghoul,14,15,0,6,-1.0,,14,71.0,158.0
854,0,0,Young Jungle Stalker,36,37,0,1,-1.0,-1.0,36,301.0,519.0
855,0,0,Young Stranglethorn Raptor,30,31,0,1,-1.0,-1.0,30,232.0,373.0
856,0,0,Young Lashtail Raptor,33,34,0,1,-1.0,-1.0,33,344.0,486.0
858,0,0,Sorrow Spinner,36,37,0,1,-1.0,-1.0,36,533.0,741.0
861,161,0,Stonard Scout,36,37,0,7,-1.0,1.0,36,304.0,579.0
862,167,0,Stonard Explorer,37,38,0,7,-1.0,1.0,37,359.0,689.0
863,367,0,Stonard Hunter,50,51,0,7,-1.0,1.0,50,231.0,352.0
868,456,0,Stonard Shaman,53,53,0,7,-1.0,1.0,53,3680.0,3236.0
871,451,0,Saltscale Warrior,35,36,1,7,-1.0,-1.0,35,513.0,866.0
873,483,0,Saltscale Oracle,36,37,1,7,-1.0,-1.0,36,481.0,815.0
875,516,0,Saltscale Tide Lord,37,37,1,7,-1.0,-1.0,37,518.0,819.0
877,450,0,Saltscale Forager,35,36,1,7,-1.0,-1.0,35,487.0,903.0
879,450,0,Saltscale Hunter,35,36,1,7,-1.0,-1.0,35,491.0,945.0
880,8,156,Erlan Drudgemoor,8,8,0,7,-1.0,,8,22.0,415411.0
881,8,160,Surena Caledon,9,9,0,7,-1.0,,9,20.0,298473.0
883,0,1,Deer,5,5,0,8,0.0,0.0,5,8.0,18.0
889,70,734,Splinter Fist Ogre,25,26,0,7,-1.0,-1.0,25,260.0,600.0
890,0,8,Fawn,1,1,0,8,0.0,,1,8.0,21.0
891,77,628,Splinter Fist Fire Weaver,26,27,0,7,-1.0,-1.0,26,313.0,939.0
892,82,896,Splinter Fist Taskmaster,27,28,0,7,-1.0,-1.0,27,302.0,555.0
898,76,787,Nightbane Worgen,26,27,0,7,-1.0,-1.0,26,330.0,733.0
905,0,0,Sharptooth Frenzy,31,32,0,1,-1.0,-1.0,31,351.0,121.0
909,69,787,Defias Night Blade,25,26,0,7,-1.0,-1.0,25,241.0,546.0
910,76,665,Defias Enchanter,26,27,0,7,-1.0,-1.0,26,261.0,2029.0
920,104,935,Nightbane Tainted One,30,31,0,7,-1.0,-1.0,30,494.0,1182.0
921,140,0,Venture Co. Lumberjack,34,35,0,7,-1.0,-1.0,34,402.0,673.0
922,0,0,Silt Crawler,40,41,0,1,0.0,0.0,40,202.0,449.0
923,0,664,Young Black Ravager,23,24,0,1,-1.0,-1.0,23,169.0,414.0
930,0,713,Black Widow Hatchling,24,25,0,1,-1.0,-1.0,24,202.0,1372.0
937,112,0,Kurzen Jungle Fighter,32,33,0,7,-1.0,-1.0,32,449.0,878.0
938,140,0,Kurzen Commando,34,35,0,7,-1.0,-1.0,34,468.0,918.0
939,160,0,Kurzen Elite,36,37,0,7,-1.0,-1.0,36,486.0,926.0
940,112,977,Kurzen Medicine Man,32,33,0,7,-1.0,-1.0,32,338.0,1837.0
941,141,0,Kurzen Headshrinker,34,35,0,7,-1.0,-1.0,34,361.0,1294.0
942,161,0,Kurzen Witch Doctor,36,37,0,7,-1.0,-1.0,36,370.0,1287.0
943,141,0,Kurzen Wrangler,34,34,0,7,-1.0,-1.0,34,407.0,661.0
946,2,69,Frostmane Novice,3,4,0,7,-1.0,,3,3.0,108338.0
947,78,787,Rohh the Silent,26,26,4,7,-1.0,,26,1709.0,30265.0
948,71,787,Rotted One,25,26,0,6,-1.0,-1.0,25,165.0,374.0
949,0,734,Carrion Recluse,25,26,0,1,-1.0,-1.0,25,228.0,1369.0
950,481,0,Swamp Talker,50,50,0,7,-1.0,-1.0,50,226.0,338.0
976,0,0,Kurzen War Tiger,32,33,0,1,-1.0,-1.0,32,372.0,492.0
977,0,0,Kurzen War Panther,32,33,0,1,-1.0,-1.0,32,389.0,807.0
978,183,0,Kurzen Subchief,38,38,0,7,-1.0,-1.0,38,527.0,1001.0
